ID,Body,Team,Accessories,Jersey,Hair,Role,Number,Dunks,Shooting,Playmaking,Defense,Image url,Title,Description,URL,Overall
3751,Human V,St. Louis Orcs,None,Home,Shaved,Player,98,98,82,75,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3657.png,BALLER #3751,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3751,85.25
2643,Human II,St. Louis Orcs,None,Away,Thinning,Player,27,73,77,81,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3658.png,BALLER #2643,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2643,77.75
5356,Human I,Iowa City Rattlesnakes,"Armband, Headband",Home,Brown Short,Player,80,92,82,78,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3659.png,BALLER #5356,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5356,81.25
8610,Zombie,St. Louis Orcs,Goggles,Home,Very Thin,Player,35,81,99,92,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3660.png,BALLER #8610,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8610,86
6183,Human II,San Francisco Surge,Headband,Away,Brunette Ponytail,Player,82,68,83,79,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3661.png,BALLER #6183,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6183,75.5
4031,Human IV,Los Angeles Mammoths,None,Away,Purple Cowlick,Player,24,75,76,83,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3662.png,BALLER #4031,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4031,79
5644,Human IV,Orlando Freeze,Headband,Away,Black Pigtails,Player,69,73,77,94,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3663.png,BALLER #5644,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5644,82.25
9671,Human II,Orlando Freeze,Headband,Home,Brunette Bun,Player,70,82,61,83,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3664.png,BALLER #9671,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9671,78.25
7694,Human I,Tallahassee Tarantulas,Armband,Home,Brown Pompadour,Player,46,95,83,66,66,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3665.png,BALLER #7694,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7694,77.5
8411,Human II,Tallahassee Tarantulas,Glasses,Home,Flat Top,Player,2,69,79,88,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3666.png,BALLER #8411,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8411,79
5841,Human I,Tallahassee Tarantulas,Headband,Home,Bedhead,Player,62,76,81,84,91,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3667.png,BALLER #5841,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5841,83
9135,Human IV,Boston Rulers,None,Away,Crazy Blue,Player,74,65,62,80,83,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3668.png,BALLER #9135,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9135,72.5
6523,Zombie,Nashville Miracle,"Armband, Steampunk Goggles",Away,Redhead Ponytail,Player,13,73,82,72,66,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3669.png,BALLER #6523,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6523,73.25
9168,Human V,Phoenix Skulls,Armband,Away,Bedhead,Player,18,74,79,82,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3670.png,BALLER #9168,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9168,78.75
7286,Human I,San Francisco Surge,Headband,Home,Redhead Ponytail,Player,31,96,84,79,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3671.png,BALLER #7286,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7286,83.75
6593,Human V,Boston Rulers,Headband,Away,Shaved,Player,81,95,84,74,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3672.png,BALLER #6593,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6593,83.75
6919,Human IV,San Jose Sirens,"Armband, Headband, Arm Tattoo",Home,Brunette Bob,Player,5,84,78,71,83,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3673.png,BALLER #6919,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6919,79
8843,Human V,Tallahassee Tarantulas,Nasal Strip,Home,Striped,Player,58,79,72,79,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3674.png,BALLER #8843,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8843,75.75
7923,Human IV,Wisconsin Dragons,Pencil,Away,Spiked,Player,51,79,61,83,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3675.png,BALLER #7923,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7923,75.5
8976,Human V,New York Torches,Nasal Strip,Home,Pink Pigtails,Player,30,79,81,80,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3676.png,BALLER #8976,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8976,77.5
6566,Human V,Los Angeles Mammoths,None,Away,Very Thin,Player,93,72,71,85,66,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3677.png,BALLER #6566,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6566,73.5
3858,Human V,San Francisco Surge,Armband,Home,Redhead Ponytail,Player,89,75,90,76,74,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3678.png,BALLER #3858,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3858,78.75
6212,Human IV,San Francisco Surge,Armband,Home,Afro,Player,27,93,69,77,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3679.png,BALLER #6212,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6212,79.25
9189,Human II,Toronto Spears,Headband,Home,Black Short,Player,74,83,69,92,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3680.png,BALLER #9189,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9189,80.25
4975,Human IV,Boston Rulers,Nasal Strip,Home,Light Brown Short,Player,11,93,61,74,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3681.png,BALLER #4975,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4975,75
5954,Human IV,Sierra Spiders,"Armband, Headband, Arm Tattoo",Away,Black Moptop,Player,66,76,84,76,99,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3682.png,BALLER #5954,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5954,83.75
5377,Devil,Cleveland Firebirds,Armband,Home,Brunette Medium,Captain,97,80,74,70,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3683.png,BALLER #5377,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5377,75
4328,Bright Zombie,Houston Rogues,"Armband, Headband, Goggles",Away,Brunette Wavy Ponytail,Player,13,85,82,95,74,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3684.png,BALLER #4328,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4328,84
5519,Human I,Chicago Squid,Nasal Strip,Home,Blonde Crewcut,Player,85,85,65,82,74,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3685.png,BALLER #5519,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5519,76.5
7490,Human IV,Houston Rogues,Headband,Away,Black Long Ponytail,Captain,65,82,79,66,84,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3686.png,BALLER #7490,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7490,77.75
4530,Human IV,New Jersey Scientists,Armband,Away,Afro,Player,4,94,84,75,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3687.png,BALLER #4530,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4530,83.25
9524,Human III,Minneapolis Express,Armband,Home,Pink Pigtails,Player,43,76,72,73,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3688.png,BALLER #9524,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9524,74.5
7336,Human II,Tallahassee Tarantulas,"Armband, Nasal Strip",Home,Light Brown Short,Player,59,76,73,87,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3689.png,BALLER #7336,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7336,79.25
7931,Lizard,Wisconsin Dragons,"Armband, Headband",Home,Striped,Player,84,75,71,81,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3690.png,BALLER #7931,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7931,77.25
8357,Human II,New York Torches,Armband,Home,Brunette Ponytail,Player,93,87,70,86,84,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3691.png,BALLER #8357,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8357,81.75
6803,Human II,Michigan Colliders,"Armband, Red Headphones",Away,Brown Pompadour,Player,50,99,72,73,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3692.png,BALLER #6803,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6803,79
4794,Human I,San Francisco Surge,Armband,Home,Light Brunette Bob,Player,77,79,87,87,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3693.png,BALLER #4794,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4794,81.25
4120,Human V,New York Torches,Pencil,Home,Braids,Player,70,85,79,82,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3694.png,BALLER #4120,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4120,82
4834,Human V,Cleveland Firebirds,None,Home,Pink Ponytail,Player,23,78,62,72,83,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3695.png,BALLER #4834,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4834,73.75
3425,Alien,Nashville Miracle,Headband,Home,Redhead Ponytail,Player,61,89,72,74,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3696.png,BALLER #3425,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3425,79.25
8935,Human II,Tampa Bay Omens,"Headband, Red Headphones",Home,Black Long Ponytail,Player,9,78,79,80,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3697.png,BALLER #8935,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8935,81
3235,Human III,Toronto Spears,"Headband, Steampunk Goggles",Home,Black Pompadour,Player,0,67,90,85,88,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3698.png,BALLER #3235,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3235,82.5
5463,Human IV,Nashville Miracle,Pencil,Home,Light Brunette Bob,Player,46,74,75,84,75,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3699.png,BALLER #5463,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5463,77
4679,Human IV,Omaha Bullsnakes,"Armband, Headband, Grey Headphones",Home,Blonde Short,Player,38,72,79,72,83,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3700.png,BALLER #4679,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4679,76.5
6248,Human II,Omaha Bullsnakes,Armband,Away,Blonde Crew,Player,55,78,74,82,66,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3701.png,BALLER #6248,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6248,75
4262,Bright Pink Alien,Los Angeles Knives,"Armband, Headband",Away,Afro,Player,47,66,92,81,67,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3702.png,BALLER #4262,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4262,76.5
9045,Stone,New Jersey Scientists,Headband,Away,Cheetah,Player,62,99,70,73,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3703.png,BALLER #9045,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9045,78.75
4668,Lizard,San Francisco Surge,Headband,Away,Brunette Bun,Player,86,70,85,79,65,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3704.png,BALLER #4668,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4668,74.75
8850,Human V,Los Angeles Knives,Headband,Away,Afro,Player,15,86,77,92,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3705.png,BALLER #8850,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8850,85
8958,Human III,Alabama Kingpins,Earrings,Home,Red Crew,Player,67,79,67,80,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3706.png,BALLER #8958,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8958,76.75
6167,Human IV,D.C. Dobermans,Armband,Away,Crazy Orange,Player,53,74,84,76,93,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3707.png,BALLER #6167,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6167,81.75
7371,Human V,Tampa Bay Omens,"Armband, Pencil",Away,Brunette Short,Player,15,79,73,75,69,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3708.png,BALLER #7371,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7371,74
8310,Human V,Cleveland Firebirds,"Armband, Nasal Strip",Home,Pink Pigtails,Player,19,81,99,79,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3709.png,BALLER #8310,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8310,84.25
2561,Human II,D.C. Dobermans,Headband,Home,Blonde Crew,Player,0,81,72,69,93,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3710.png,BALLER #2561,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2561,78.75
2726,Human III,San Jose Sirens,"Armband, Grey Headphones",Home,Redhead Ponytail,Player,71,85,85,82,61,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3711.png,BALLER #2726,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2726,78.25
8593,Human I,St. Louis Orcs,Nasal Strip,Home,Very Thin,Player,34,90,95,85,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3712.png,BALLER #8593,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8593,89
4482,Zombie,Iowa City Rattlesnakes,"Armband, Headband, Pencil",Home,Crazy Blue,Player,27,78,77,73,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3713.png,BALLER #4482,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4482,77
4732,Human II,Boston Rulers,"Armband, Headband",Home,Black Pompadour,Player,68,78,71,85,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3714.png,BALLER #4732,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4732,77.5
6033,Human IV,Phoenix Skulls,None,Away,Flat Top,Player,36,76,88,78,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3715.png,BALLER #6033,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6033,79.5
5853,Human V,New Jersey Scientists,Arm Tattoo,Away,Blonde Crewcut,Player,66,75,73,79,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3716.png,BALLER #5853,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5853,76.75
9139,Human III,San Jose Sirens,Grey Headphones,Home,Redhead Ponytail,Player,60,75,66,75,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3717.png,BALLER #9139,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9139,75.25
6217,Human V,Omaha Bullsnakes,None,Home,Patchy,Player,61,76,84,74,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3718.png,BALLER #6217,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6217,79.75
6700,Human I,Miami Tentacles,"Armband, Headband, Steampunk Goggles",Home,Flat Top,Player,45,87,86,96,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3719.png,BALLER #6700,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6700,86.25
5806,Human V,Houston Rogues,"Armband, Arm Tattoo",Away,Redhead Ponytail,Player,41,73,67,72,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3720.png,BALLER #5806,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5806,72.25
5681,Human V,New York Golden Bulls,Armband,Home,Brown Taper,Player,37,75,82,74,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3721.png,BALLER #5681,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5681,78
4001,Human II,Salt Lake City Souls,Headband,Away,Blonde Medium,Player,73,88,83,87,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3722.png,BALLER #4001,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4001,84.75
6599,Human II,Nashville Miracle,"Armband, Grey Headphones",Away,Redhead Ponytail,Player,89,94,89,82,92,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3723.png,BALLER #6599,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6599,89.25
6121,Human I,Dallas Pythons,None,Away,Brown Pompadour,Player,92,78,87,82,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3724.png,BALLER #6121,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6121,80
5184,Human III,Helena Pronghorns,None,Home,Black Moptop,Captain,4,67,86,84,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3725.png,BALLER #5184,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5184,80.75
3530,Human IV,Chicago Squid,"Headband, Red Headphones",Away,Brown Short,Player,49,73,86,79,98,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3726.png,BALLER #3530,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3530,84
6452,Human V,Portland Creatures,"Armband, Silver Chain",Home,Thinning,Player,18,90,83,79,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3727.png,BALLER #6452,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6452,81
3573,Stone,Houston Rogues,Armband,Home,Brunette Short,Captain,31,78,61,90,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3728.png,BALLER #3573,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3573,77.25
3493,Human I,St. Louis Orcs,"Armband, Pencil",Home,Spiked,Player,11,89,86,78,64,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3729.png,BALLER #3493,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3493,79.25
4828,Human III,Delaware Horsemen,Armband,Home,Red Crew,Player,80,89,80,76,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3730.png,BALLER #4828,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4828,80.5
8128,Human V,Orlando Freeze,"Headband, Goggles",Home,Pink Pigtails,Player,38,67,87,75,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3731.png,BALLER #8128,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8128,77.5
4266,Human II,New York Golden Bulls,Headband,Home,Brown Moptop,Player,28,75,73,91,94,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3732.png,BALLER #4266,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4266,83.25
2773,Human III,Phoenix Skulls,Headband,Home,Shaved,Player,48,81,84,82,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3733.png,BALLER #2773,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2773,83.5
7846,Lizard,Wisconsin Dragons,Headband,Home,Light Brown Short,Player,75,89,78,77,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3734.png,BALLER #7846,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7846,82.75
8194,Human V,San Jose Sirens,None,Home,Blonde Medium,Player,25,88,67,80,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3735.png,BALLER #8194,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8194,78.5
5102,Human IV,New Orleans Giants,Armband,Home,Light Brown Short,Player,58,87,68,81,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3736.png,BALLER #5102,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5102,78.25
7352,Human III,Houston Rogues,"Armband, Silver Chain",Home,Brunette Medium,Player,48,85,77,77,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3737.png,BALLER #7352,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7352,81.5
5415,Zombie,Tallahassee Tarantulas,"Armband, Eye Patch",Home,Brown Pompadour,Player,4,63,76,85,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3738.png,BALLER #5415,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5415,75.5
5126,Human V,Wisconsin Dragons,"Armband, Headband",Home,Crazy Blue,Player,24,74,84,82,92,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3739.png,BALLER #5126,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5126,83
3087,Human II,Salt Lake City Souls,"Armband, Headband, Arm Tattoo",Home,Braids,Player,47,82,95,67,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3740.png,BALLER #3087,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3087,81.5
5622,Human V,Alabama Kingpins,Armband,Home,Black Moptop,Player,32,83,80,75,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3741.png,BALLER #5622,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5622,81.25
2552,Human V,Los Angeles Knives,None,Home,Brunette Wavy Ponytail,Player,8,67,81,69,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3742.png,BALLER #2552,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2552,74.5
9504,Human II,Austin Machines,Armband,Home,Black Short,Player,61,80,74,72,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3743.png,BALLER #9504,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9504,78
6308,Human I,Chicago Squid,"Armband, Earrings",Home,Purple Cowlick,Player,50,72,76,72,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3744.png,BALLER #6308,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6308,76.25
4935,Human V,New Jersey Scientists,"Armband, Headband",Away,Light Brown Short,Player,95,83,78,65,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3745.png,BALLER #4935,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4935,77.75
7396,Human III,Seattle Scream,"Armband, Headband, Pencil",Away,Crazy Purple,Player,47,83,92,76,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3746.png,BALLER #7396,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7396,84.5
4471,Human V,Houston Rogues,"Headband, Pencil",Away,Brunette Short,Player,92,75,72,86,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3747.png,BALLER #4471,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4471,77.5
3986,Human III,Nashville Miracle,Nasal Strip,Home,Brunette Ponytail,Player,33,95,80,72,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3748.png,BALLER #3986,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3986,82
